doy,year,hod,gs,PPFD,VPD,Patm,gb,Tref,Ps,Tair,CO2,u,ratiocrit,O2,Vmax25,gamstar25,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,albedo_l,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,LAI,max_leaf_width,g1,P50,P88,kmax,sref,fc,Tp,gmin_20,gmin_Tp
[-],[-],[h],[mol m-2 s-1],[umol m-2 s-1],[kPa],[kPa],[mol m-2 s-1],[deg C],[MPa],[deg C],[Pa],[m s-1],[-],[kPa],[umol m-2 s-1],[Pa],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[m2 m-2],[m],[kPa0.5],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[MPa-1],[m3 m-3],[deg C],[mol m-2 s-1],[mol m-2 s-1]
306,2022,11.85548611,0.08828775,503.25,2.97467975,100.28,2.92089725,29.6125,-0.82,24.6,45.42684,0,0.05,20.8,117,4.22,1.42,0.525,25,39.96,27.48,0.3,0.7,0.99,0.83,0.93,0.97,0.15,0.05,0.01,0.001,60000,30000,37830,79430,36380,650,650,200000,200000,2.13,0.0163,5.34,4.1,5.3,5.97,1.82,0.34784,40,0.0014,0.014
311,2022,11.91048611,0.0404545,336.5,2.82818475,101.91,2.92187775,36.5475,-0.722,40.56,52.68747,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,11.84361111,0.03716925,1202.75,4.16729375,101.785,2.92152125,34.84,-0.814,36.56,52.52106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,12.17208333,0.07582375,240.5,1.8219185,100.29,2.92068775,29.18,-0.562,25.87,45.63195,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,12.21118056,0.05129125,100.25,2.60629225,101.8575,2.92136825,35.6775,-0.325,39.92,45.5303025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,12.16805556,0.0388695,583.25,3.91157775,101.7575,2.921519,35.31,-0.766,36.55,49.25063,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,11.75805556,0.0889805,1064.25,2.60686075,100.2675,2.921008,29.12,-0.605,24.94,49.4318775,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,11.775,0.054475,664.75,3.475374,101.915,2.92236275,36.0875,-0.909,39.39,55.747505,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,11.71127778,0.0478608,1070.2,3.835147,101.788,2.9214976,34.446,-0.561,36.58,45.499236,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,11.41574074,0.072860667,363,1.964345167,100.255,2.921071,26.93833333,-0.52,25.18,46.1173,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,11.24208333,0.03485425,228.5,2.849594,101.935,2.920923,31.7675,-0.742,34.17,56.573925,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,11.23,0.05496925,680.25,3.46680825,101.8,2.92163675,31.3125,-0.617,32.99,54.2594,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,12.62118056,0.01283325,207.25,2.77901325,100.3275,2.9213145,31.09,-1.139,29.01,44.8463925,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,12.65851852,0.016624667,185.3333333,4.088354,101.83,2.921427,37.55666667,-0.641,40.02,51.9333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,12.59388889,0.027831667,1281,4.372882333,101.72,2.921562333,37.72333333,-0.666,36.75,48.11356,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
