year,doy,hod,E,gs,gb,Pleaf,Tleaf,A,Ci
[-],[-],[h],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Mpa],[deg C],[umol m-2 s-1],[Pa]
2022,306,12.56944444,0.33650775,0.01328325,2.92179575,-1.951,30.205,0,0
2022,311,12.62561111,0.5341798,0.013455,2.9218416,-2.4,37.214,0,0
2022,312,12.56183333,1.0746066,0.0252866,2.9220386,-2.448,37.836,0,0
2022,306,11.68555556,1.39183275,0.065446,2.9214315,-2.35,27.9725,0,0
2022,311,11.69152778,1.096892,0.03119525,2.9216175,-2.316,36.0375,0,0
2022,312,11.64326389,0.93517325,0.0233355,2.9213465,-2.09,34.6775,0,0
2022,306,11.29796296,0.9018815,0.045546333,2.920826833,-2.164,26.3,0,0
2022,311,11.41291667,1.0997385,0.033638,2.921585,-2.636,34.88,0,0
2022,312,11.36673611,1.3649435,0.04600175,2.92114375,-2.29,32.73,0,0
2022,306,12.13854167,1.1721555,0.055901,2.92093675,-1.722,27.4375,0,0
2022,311,12.23354167,0.695457,0.0287675,2.922297,-1.946,32.33,0,0
2022,312,12.19236111,2.03266,0.05594325,2.92130925,-2.211,35.71,0,0
2022,306,12.21736111,0.83077475,0.0282735,2.92164075,-0.989,31.22,0,0
2022,311,12.155625,0.49219075,0.01661775,2.921324,-3.033,33.845,0,0
2022,312,12.09972222,1.0924365,0.0326395,2.922464,-2.83,33.965,0,0
