drought_only,HW_and_drought_constD,HW_and_drought_varD_pwr,HW_and_drought_varD_RH60,HW_only_constD,HW_only_varD_pwr,HW_only_varD_RH60,mean,model,variable
-5.02831684625652,-4.414773249719657,-4.414773249719657,-4.414773249719657,-4.414773249719657,-15.073781492100284,-4.414773249719657,-5.140658929703999,Const0.01,gs
-0.24082596644635967,-0.2934537058298514,-0.2934537058298514,-0.2934537058298514,-0.2934537058298514,-2.708595132068566,-0.2934537058298514,-0.46586562281248245,Const0.1,gs
-2.118591689622721,-1.4184285909539458,-1.4184285909539458,-1.4184285909539458,-1.4184285909539458,-0.7046910266577202,-1.4184285909539458,-1.3731854275264008,Const0.2,gs
-11.572357448669122,-8.547844342161651,-8.547844342161651,-8.547844342161651,-8.547844342161651,-11.053620447752087,-8.547844342161651,-9.212256808542426,Const0.3,gs
-28.602123243585577,-21.681700959452986,-21.681700959452986,-21.681700959452986,-21.681700959452986,-33.75538339535168,-21.681700959452986,-23.756242812963222,Const0.4,gs
-53.207889074372055,-40.81999844282792,-40.81999844282792,-40.81999844282792,-40.81999844282792,-68.80997986945648,-40.81999844282792,-44.978753996151084,Const0.5,gs
-3.6520993888407682,-8.359928087743695,-7.8965327806578145,-8.075513255327806,-8.359928087743695,-7.605957599795303,-8.075513255327806,-7.048305099927216,Const0.01,Ci
-0.0004547008097386396,-11.206077736014956,-10.885723304985934,-11.031208177298435,-11.206077736014956,-16.29095024534385,-11.031208177298435,-5.469960663432188,Const0.1,Ci
-2.19748653920648,-12.421657484335189,-12.109462347320282,-12.258997541323135,-12.421657484335189,-18.714050986015593,-12.258997541323135,-9.000559482299499,Const0.2,Ci
-5.387261140996223,-13.51824018717281,-13.226146511915594,-13.36221237637599,-13.51824018717281,-20.03408186302079,-13.36221237637599,-11.847700820062933,Const0.3,Ci
-7.950954720226358,-14.348159853146585,-14.063154257654132,-14.195354640106558,-14.348159853146585,-20.876046450263022,-14.195354640106558,-13.476757524775246,Const0.4,Ci
-9.885572642866475,-14.95724761805787,-14.681070360734642,-14.809254286754465,-14.95724761805787,-21.456794368434217,-14.809254286754465,-14.523419343412105,Const0.5,Ci
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
-26.075178266518616,-9.878146033585287,-8.829865777411136,-9.261692152355502,-9.878146033585287,-19.665141753097487,-9.261692152355502,-11.459399351504759,Const0.01,E
-3.88725465683636,-1.8478450553968422,-10.750437111483876,-5.432264600963083,-1.8478450553968422,-12.627001422986242,-5.432264600963083,-4.331848818336234,Const0.1,E
-1.429065097936752,-1.3339965946023562,-49.1476255637153,-23.540532642867728,-1.3339965946023562,-106.10438661061613,-23.540532642867728,-5.009716982331867,Const0.2,E
-16.621000657913594,-6.162473455205225,-113.45882537127555,-55.440327755897755,-6.162473455205225,-270.96306928714466,-55.440327755897755,-18.238823154232996,Const0.3,E
-45.042384326991225,-14.633589321084745,-193.66154217563246,-98.93739392491096,-14.633589321084745,-479.6145104330854,-98.93739392491096,-39.543634573139244,Const0.4,E
-83.37750423174076,-25.51656659078671,-283.3570161497903,-147.55301255730913,-25.51656659078671,-714.5631945308196,-147.55301255730913,-66.18007572731952,Const0.5,E
-5.052985498908673,-13.565282911530488,-13.500982868458765,-13.527220695441704,-13.565282911530488,-38.70037048321822,-13.527220695441704,-12.339475603535227,Const0.01,A
-0.7448051163467204,-6.4427444086125085,-6.191808401340816,-6.307922516803436,-6.4427444086125085,-29.42179640677561,-6.307922516803436,-5.029194591137337,Const0.1,A
-4.420042445194965,-7.557110894093297,-7.172232535545932,-7.347882212816261,-7.557110894093297,-27.82032595388805,-7.347882212816261,-7.701450848484926,Const0.2,A
-6.612363650985204,-8.56727094620577,-8.10653134194724,-8.272478869312875,-8.56727094620577,-27.08529704224021,-8.272478869312875,-9.05149811196068,Const0.3,A
-7.822758587612379,-9.160515959992086,-8.657037721789742,-8.854385427088715,-9.160515959992086,-26.561416320500093,-8.854385427088715,-9.782292628481775,Const0.4,A
-8.5617239572429,-9.553104792814185,-8.942825337080006,-9.220668128875461,-9.553104792814185,-25.955062671608342,-9.220668128875461,-10.21228234689206,Const0.5,A
