E_crebra_VarEnv,E_moluccana_VarEnv,E_tereticornis_VarEnv,mean,model,variable
-1.5678291966668423e+29,-1.5652744829046696e+29,-1.974771944299074e+29,-1.6824841167396184e+29,std,gs
-1.4413415434855974e+29,-1.0624360085788521e+29,-1.3764749146437433e+29,-1.2703657173469996e+29,therm,gs
-1.3275246270906725e+29,-1.0093271432906268e+29,-1.3933146870401141e+29,-1.2186434427739855e+29,pmax,gs
,,,,,
,,,,,
,,,,,
,,,,std,Pleaf
-inf,-inf,-inf,-inf,therm,Pleaf
-inf,-inf,-inf,-inf,pmax,Pleaf
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
